CITY_ASCII,WEATHER,TEMPERATURE,VISIBILITY,HUMIDITY,WIND_SPEED,SEASONS,HOURS,FORECASTDATETIME,LABEL,DETAILED_LABEL
Seoul,Clouds,11.22,10000,39,1.84,SPRING,9,2025-04-02 09:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  11.22  °C </br> Visibility:  10000  m </br> Humidity:  39  % </br> Wind Speed:  1.84  m/s </br> Datetime:  2025-04-02 09:00:00  </br>
Seoul,Clouds,9.14,10000,52,3.61,SPRING,12,2025-04-02 12:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  9.14  °C </br> Visibility:  10000  m </br> Humidity:  52  % </br> Wind Speed:  3.61  m/s </br> Datetime:  2025-04-02 12:00:00  </br>
Seoul,Clouds,7.37,10000,66,2.92,SPRING,15,2025-04-02 15:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  7.37  °C </br> Visibility:  10000  m </br> Humidity:  66  % </br> Wind Speed:  2.92  m/s </br> Datetime:  2025-04-02 15:00:00  </br>
Seoul,Clouds,6.65,10000,72,1.4,SPRING,18,2025-04-02 18:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  6.65  °C </br> Visibility:  10000  m </br> Humidity:  72  % </br> Wind Speed:  1.4  m/s </br> Datetime:  2025-04-02 18:00:00  </br>
Seoul,Clouds,6.42,10000,72,0.71,SPRING,21,2025-04-02 21:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  6.42  °C </br> Visibility:  10000  m </br> Humidity:  72  % </br> Wind Speed:  0.71  m/s </br> Datetime:  2025-04-02 21:00:00  </br>
Seoul,Clouds,8.61,10000,58,2.02,SPRING,0,2025-04-03 00:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  8.61  °C </br> Visibility:  10000  m </br> Humidity:  58  % </br> Wind Speed:  2.02  m/s </br> Datetime:  2025-04-03 00:00:00  </br>
Seoul,Clear,12.99,10000,36,0.37,SPRING,3,2025-04-03 03:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  12.99  °C </br> Visibility:  10000  m </br> Humidity:  36  % </br> Wind Speed:  0.37  m/s </br> Datetime:  2025-04-03 03:00:00  </br>
Seoul,Clear,14.8,10000,28,3.41,SPRING,6,2025-04-03 06:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  14.8  °C </br> Visibility:  10000  m </br> Humidity:  28  % </br> Wind Speed:  3.41  m/s </br> Datetime:  2025-04-03 06:00:00  </br>
Seoul,Clear,12.55,10000,40,3.94,SPRING,9,2025-04-03 09:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  12.55  °C </br> Visibility:  10000  m </br> Humidity:  40  % </br> Wind Speed:  3.94  m/s </br> Datetime:  2025-04-03 09:00:00  </br>
Seoul,Clear,10.77,10000,47,1.62,SPRING,12,2025-04-03 12:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  10.77  °C </br> Visibility:  10000  m </br> Humidity:  47  % </br> Wind Speed:  1.62  m/s </br> Datetime:  2025-04-03 12:00:00  </br>
Seoul,Clear,9.71,10000,52,1.05,SPRING,15,2025-04-03 15:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  9.71  °C </br> Visibility:  10000  m </br> Humidity:  52  % </br> Wind Speed:  1.05  m/s </br> Datetime:  2025-04-03 15:00:00  </br>
Seoul,Clear,8.31,10000,62,1.75,SPRING,18,2025-04-03 18:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  8.31  °C </br> Visibility:  10000  m </br> Humidity:  62  % </br> Wind Speed:  1.75  m/s </br> Datetime:  2025-04-03 18:00:00  </br>
Seoul,Clouds,7.14,10000,68,1.45,SPRING,21,2025-04-03 21:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  7.14  °C </br> Visibility:  10000  m </br> Humidity:  68  % </br> Wind Speed:  1.45  m/s </br> Datetime:  2025-04-03 21:00:00  </br>
Seoul,Clouds,9.4,10000,53,1.71,SPRING,0,2025-04-04 00:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  9.4  °C </br> Visibility:  10000  m </br> Humidity:  53  % </br> Wind Speed:  1.71  m/s </br> Datetime:  2025-04-04 00:00:00  </br>
Seoul,Clear,13.18,10000,35,2.75,SPRING,3,2025-04-04 03:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  13.18  °C </br> Visibility:  10000  m </br> Humidity:  35  % </br> Wind Speed:  2.75  m/s </br> Datetime:  2025-04-04 03:00:00  </br>
Seoul,Clear,14.31,10000,33,4.4,SPRING,6,2025-04-04 06:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  14.31  °C </br> Visibility:  10000  m </br> Humidity:  33  % </br> Wind Speed:  4.4  m/s </br> Datetime:  2025-04-04 06:00:00  </br>
Seoul,Clouds,12.47,10000,39,3.65,SPRING,9,2025-04-04 09:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  12.47  °C </br> Visibility:  10000  m </br> Humidity:  39  % </br> Wind Speed:  3.65  m/s </br> Datetime:  2025-04-04 09:00:00  </br>
Seoul,Clouds,10.77,10000,48,2.02,SPRING,12,2025-04-04 12:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  10.77  °C </br> Visibility:  10000  m </br> Humidity:  48  % </br> Wind Speed:  2.02  m/s </br> Datetime:  2025-04-04 12:00:00  </br>
Seoul,Rain,8.5,10000,62,0.22,SPRING,15,2025-04-04 15:00:00,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br> Temperature:  8.5  °C </br> Visibility:  10000  m </br> Humidity:  62  % </br> Wind Speed:  0.22  m/s </br> Datetime:  2025-04-04 15:00:00  </br>
Seoul,Clouds,8.81,10000,55,2.1,SPRING,18,2025-04-04 18:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  8.81  °C </br> Visibility:  10000  m </br> Humidity:  55  % </br> Wind Speed:  2.1  m/s </br> Datetime:  2025-04-04 18:00:00  </br>
Seoul,Rain,7.27,8953,79,2.68,SPRING,21,2025-04-04 21:00:00,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br> Temperature:  7.27  °C </br> Visibility:  8953  m </br> Humidity:  79  % </br> Wind Speed:  2.68  m/s </br> Datetime:  2025-04-04 21:00:00  </br>
Seoul,Rain,7.47,10000,78,4.55,SPRING,0,2025-04-05 00:00:00,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br> Temperature:  7.47  °C </br> Visibility:  10000  m </br> Humidity:  78  % </br> Wind Speed:  4.55  m/s </br> Datetime:  2025-04-05 00:00:00  </br>
Seoul,Rain,8.49,10000,83,4.73,SPRING,3,2025-04-05 03:00:00,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br> Temperature:  8.49  °C </br> Visibility:  10000  m </br> Humidity:  83  % </br> Wind Speed:  4.73  m/s </br> Datetime:  2025-04-05 03:00:00  </br>
Seoul,Rain,9.8,10000,68,5.57,SPRING,6,2025-04-05 06:00:00,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Rain </b></br> Temperature:  9.8  °C </br> Visibility:  10000  m </br> Humidity:  68  % </br> Wind Speed:  5.57  m/s </br> Datetime:  2025-04-05 06:00:00  </br>
Seoul,Clear,10.14,10000,41,5.96,SPRING,9,2025-04-05 09:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  10.14  °C </br> Visibility:  10000  m </br> Humidity:  41  % </br> Wind Speed:  5.96  m/s </br> Datetime:  2025-04-05 09:00:00  </br>
Seoul,Clear,7.61,10000,55,3.54,SPRING,12,2025-04-05 12:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clear </b></br> Temperature:  7.61  °C </br> Visibility:  10000  m </br> Humidity:  55  % </br> Wind Speed:  3.54  m/s </br> Datetime:  2025-04-05 12:00:00  </br>
Seoul,Clouds,6.86,10000,63,2.45,SPRING,15,2025-04-05 15:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  6.86  °C </br> Visibility:  10000  m </br> Humidity:  63  % </br> Wind Speed:  2.45  m/s </br> Datetime:  2025-04-05 15:00:00  </br>
Seoul,Clouds,6.13,10000,64,1.91,SPRING,18,2025-04-05 18:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  6.13  °C </br> Visibility:  10000  m </br> Humidity:  64  % </br> Wind Speed:  1.91  m/s </br> Datetime:  2025-04-05 18:00:00  </br>
Seoul,Clouds,5.53,10000,63,1.65,SPRING,21,2025-04-05 21:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  5.53  °C </br> Visibility:  10000  m </br> Humidity:  63  % </br> Wind Speed:  1.65  m/s </br> Datetime:  2025-04-05 21:00:00  </br>
Seoul,Clouds,9.02,10000,45,2.19,SPRING,0,2025-04-06 00:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  9.02  °C </br> Visibility:  10000  m </br> Humidity:  45  % </br> Wind Speed:  2.19  m/s </br> Datetime:  2025-04-06 00:00:00  </br>
Seoul,Clouds,14.42,10000,23,4.26,SPRING,3,2025-04-06 03:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  14.42  °C </br> Visibility:  10000  m </br> Humidity:  23  % </br> Wind Speed:  4.26  m/s </br> Datetime:  2025-04-06 03:00:00  </br>
